0	0 8	0 7.41791 4465 10.9505 5140 10.9642 13833 11.2968 12485 11.4552 
1	1 224	1 12.3081 948 12.8431 2825 12.853 4806 12.9385 2302 12.9688 
2	4 3	4 11.6449 10711 13.0689 5155 13.2567 322 13.4051 7527 13.4624 
3	4 189	3279 10.246 11194 11.1836 6518 12.3177 4 12.4924 2482 12.8168 
4	7 47	7266 9.67809 2837 9.84768 1486 9.99974 13302 10.0883 26 10.1061 
5	7 47	7266 9.67809 2837 9.84768 1486 9.99974 13302 10.0883 26 10.1061 
6	7 47	7266 9.67809 2837 9.84768 1486 9.99974 13302 10.0883 26 10.1061 
7	7 129	6731 10.3945 9686 10.5868 5084 11.075 13909 11.1914 6830 11.23 
8	7 158	7 3.17401 14474 12.5121 4099 12.6298 3757 12.8046 640 12.9253 
9	8 56	12328 11.4835 13811 11.6127 5672 11.6485 13452 11.6818 10604 11.8339 
10	9 2	8181 10.6428 9155 10.9451 13647 11.3004 13634 11.3334 14388 11.6513 
11	9 136	13326 9.89755 12400 10.0305 10233 10.0398 2963 10.9952 11166 11.1344 
12	10 92	10 6.94623 12806 9.33495 13742 9.79078 12380 9.98665 2008 10.0735 
13	10 92	10 6.94623 12806 9.33495 13742 9.79078 12380 9.98665 2008 10.0735 
14	10 92	10 6.94623 12806 9.33495 13742 9.79078 12380 9.98665 2008 10.0735 
15	10 213	10 6.89773 14511 9.79829 11683 9.94398 3550 9.96172 7332 10.117 
16	10 213	10 6.89773 14511 9.79829 11683 9.94398 3550 9.96172 7332 10.117 
17	10 213	10 6.89773 14511 9.79829 11683 9.94398 3550 9.96172 7332 10.117 
18	11 93	11 10.6763 8271 12.3468 4696 13.0814 11361 13.2349 1978 13.2428 
19	13 47	2858 10.5262 12956 10.5641 6163 10.5925 7834 10.5961 10848 10.6171 
20	13 136	7173 11.0645 13011 11.1877 8019 11.3421 3472 11.5258 6176 11.5287 
21	13 220	13 11.7174 608 12.6421 2461 12.8207 3795 13.4257 11652 13.7082 
22	14 97	3082 8.98976 13175 9.3467 13498 10.2387 5308 10.5425 2415 10.8165 
23	14 179	14 6.54112 3186 12.1034 9581 12.5962 7868 12.8362 8730 12.9786 
24	14 199	138 7.99551 13217 8.0593 8766 8.24976 4313 8.31571 488 8.44281 
