0	0 8	0 8.75219 6516 9.44468 7992 9.47923 13833 10.1118 9184 10.164 
1	1 224	1 8.9446 1763 9.21116 3520 9.48772 6813 9.49098 7332 9.54383 
2	4 3	4 9.05131 862 9.0962 4894 9.30722 3588 9.36252 11257 9.36903 
3	4 189	3279 7.49507 11194 7.57619 6789 7.92129 5530 8.12932 4824 8.21438 
4	7 47	2713 7.93692 14411 8.18019 5162 8.32775 9264 8.33278 2663 8.37836 
5	7 47	2713 7.93692 14411 8.18019 5162 8.32775 9264 8.33278 2663 8.37836 
6	7 47	2713 7.93692 14411 8.18019 5162 8.32775 9264 8.33278 2663 8.37836 
7	7 129	9686 6.8587 1230 6.86125 2518 7.11729 13909 7.13055 3795 7.27009 
8	7 158	7 3.58217 12693 10.0717 12052 10.2779 332 10.3671 12783 10.3905 
9	8 56	914 8.21526 6879 8.23073 8356 8.59329 13837 8.65114 12181 8.70265 
10	9 2	8181 7.87378 9978 7.95361 9401 7.95828 13634 8.01884 13647 8.04474 
11	9 136	5615 8.15236 8442 8.19019 2587 8.20863 8285 8.20986 1246 8.23553 
12	10 92	10 6.43149 12380 6.74816 11104 6.77186 9703 6.92613 7332 7.00154 
13	10 92	10 6.43149 12380 6.74816 11104 6.77186 9703 6.92613 7332 7.00154 
14	10 92	10 6.43149 12380 6.74816 11104 6.77186 9703 6.92613 7332 7.00154 
15	10 213	10 5.95049 7421 6.87059 14511 7.14754 6162 7.19914 3319 7.22208 
16	10 213	10 5.95049 7421 6.87059 14511 7.14754 6162 7.19914 3319 7.22208 
17	10 213	10 5.95049 7421 6.87059 14511 7.14754 6162 7.19914 3319 7.22208 
18	11 93	11 8.00298 1794 9.2044 11556 9.33004 7526 9.3454 4894 9.39349 
19	13 47	1502 8.6268 6909 8.69133 13 8.71105 827 8.86199 9646 8.99014 
20	13 136	2587 7.85668 11373 7.9829 6047 8.00033 11244 8.04084 1115 8.04384 
21	13 220	13 8.21347 6428 8.62401 12804 8.9855 12601 9.28828 6884 9.42053 
22	14 97	3082 7.11999 13175 7.12147 5308 7.18712 2415 7.49366 8851 7.55376 
23	14 179	14 7.57102 7851 10.1203 11518 10.1526 11381 10.3123 11811 10.4082 
24	14 199	11101 6.0717 13812 6.3045 4868 6.36154 3352 6.37117 10786 6.37552 
25	15 112	15 8.60009 776 8.67496 3449 9.19528 3658 9.25831 10770 9.484 
26	15 166	2474 7.34868 1828 7.74708 6469 7.7553 460 7.76962 5974 7.77437 
27	16 57	4102 7.64637 8807 7.6464 6487 7.67117 6751 7.68399 12027 7.73726 
28	18 5	18 8.25299 11426 10.4974 7865 10.8078 2958 10.9412 2405 10.9707 
29	18 47	9060 7.42292 13659 7.70231 3777 7.79619 6159 7.86586 9383 7.96294 
30	18 103	18 8.69124 8355 10.7929 4665 10.9069 14115 11.0035 854 11.0531 
31	18 136	10042 6.66997 3012 6.88365 6176 6.90966 2459 6.91489 3155 6.93263 
32	19 183	9631 8.53597 19 8.73159 8871 9.02626 14393 9.976 7582 9.97974 
33	19 183	9631 8.53597 19 8.73159 8871 9.02626 14393 9.976 7582 9.97974 
34	20 47	4294 8.37714 704 8.41386 13412 8.44757 10021 8.52539 9292 8.53197 
