0	0 8	0 8.88481 5140 12.3749 13833 12.6959 12540 12.9873 10960 13.0413 
1	1 224	1481 11.8227 1 11.9941 2888 12.1593 9483 12.3278 2266 12.3312 
2	4 3	4 11.864 12057 13.3735 12474 13.4668 8686 13.4994 1790 13.5762 
3	4 189	11194 9.10985 3279 10.5667 2482 10.6792 4824 11.8607 9434 12.166 
4	7 47	13302 9.13164 13610 9.55945 1491 9.84569 2976 9.84915 7868 9.86998 
5	7 47	13302 9.13164 13610 9.55945 1491 9.84569 2976 9.84915 7868 9.86998 
6	7 47	13302 9.13164 13610 9.55945 1491 9.84569 2976 9.84915 7868 9.86998 
7	7 129	9686 8.9285 1230 9.40527 6731 9.72946 3403 9.94809 12679 9.95167 
8	7 158	7 3.97041 3757 12.0231 8061 12.3339 4099 12.615 2275 12.6621 
9	8 56	4317 10.5109 12328 10.6782 14346 10.8913 10925 10.9135 500 11.0025 
10	9 2	8181 10.6481 13634 11.0433 13647 11.2246 8957 11.8887 9155 12.1313 
11	9 136	5615 10.3437 12400 10.5525 11166 10.5719 13326 10.6077 3352 10.6504 
12	10 92	10 9.55292 13742 10.6514 7401 10.9637 14511 10.9822 12806 11.0233 
13	10 92	10 9.55292 13742 10.6514 7401 10.9637 14511 10.9822 12806 11.0233 
14	10 92	10 9.55292 13742 10.6514 7401 10.9637 14511 10.9822 12806 11.0233 
15	10 213	10 9.38583 14511 11.0359 10051 11.0948 10036 11.1052 7421 11.1303 
16	10 213	10 9.38583 14511 11.0359 10051 11.0948 10036 11.1052 7421 11.1303 
17	10 213	10 9.38583 14511 11.0359 10051 11.0948 10036 11.1052 7421 11.1303 
18	11 93	11 11.6167 8271 12.7195 7496 13.6344 739 13.6393 978 13.7227 
19	13 47	7834 10.1039 6159 10.2292 3003 10.5964 12265 10.6604 1421 10.7116 
20	13 136	3472 9.80095 6176 9.95441 13011 10.0067 8019 10.2266 7173 10.2921 
21	13 220	13 11.7825 3795 12.2533 9686 12.5627 2461 12.6151 12601 13.0664 
22	14 97	3082 9.14112 13175 9.42951 13498 9.78168 5308 9.78297 2415 10.0648 
23	14 179	14 8.98286 3186 13.4616 8730 13.9086 13870 14.0519 1442 14.1444 
24	14 199	8766 7.53712 694 7.80839 3012 8.03897 12430 8.08993 6650 8.18175 
25	15 112	11136 10.1911 12106 11.7693 12695 11.7808 9958 11.8345 15 11.8615 
26	15 166	5165 9.91478 6469 9.9756 5974 10.0437 7603 10.1894 12824 10.3135 
27	16 57	4128 10.6222 4176 10.7723 8945 10.7777 9881 10.7886 10073 10.8557 
28	18 5	18 6.2876 8106 11.9195 8356 12.1915 640 12.4334 1718 12.5286 
29	18 47	550 9.29763 13596 9.33913 5125 9.54908 1317 9.55689 3231 9.66918 
30	18 103	18 8.75647 8106 12.6046 1718 13.8438 9442 13.9035 6211 13.9045 
31	18 136	3472 7.89825 7593 7.96668 10042 8.15784 3352 8.27104 13011 8.30737 
32	19 183	1364 10.4609 7381 10.8979 9596 11.0644 14393 11.1678 8871 11.2262 
33	19 183	1364 10.4609 7381 10.8979 9596 11.0644 14393 11.1678 8871 11.2262 
34	20 47	9338 9.74429 3231 10.6609 547 10.837 12265 10.892 1348 10.9775 
35	20 136	11668 10.4429 3472 10.537 3012 10.6678 5010 10.6939 8285 10.7577 
36	21 79	4279 12.159 1898 12.2375 21 12.3795 5055 16.1721 11204 16.1983 
37	23 158	23 3.97041 8881 11.8314 4448 11.9292 4765 12.6049 7079 12.8269 
38	24 33	24 12.2349 162 12.4703 4279 12.5369 13224 12.5702 6431 16.0643 
39	26 36	4159 10.95 10625 11.0013 9781 11.1885 26 11.6254 4603 11.8877 
40	26 128	1003 9.70225 3286 11.4653 11442 11.4881 3530 11.4944 26 11.6681 
41	26 184	26 12.0421 1533 12.1424 11537 12.2626 7100 12.423 354 12.4706 
42	27 3	27 11.864 862 13.3955 12057 13.4156 8686 13.4465 1790 13.5703 
43	27 101	13819 8.24149 14464 8.25138 14479 8.32262 4932 8.62678 10854 8.90119 
44	27 173	27 12.2351 5957 12.6143 65 13.2832 13761 13.4013 11109 13.4382 
45	28 28	10520 10.2806 7526 10.4019 88 10.6291 4894 10.6394 14375 10.6423 
46	28 135	11420 10.3205 7005 10.4001 532 10.4462 2607 10.4646 4929 10.6999 
47	29 46	11242 9.16213 5882 9.28319 10424 9.31052 12265 9.31451 3356 9.35406 
48	29 46	11242 9.16213 5882 9.28319 10424 9.31052 12265 9.31451 3356 9.35406 
49	29 46	11242 9.16213 5882 9.28319 10424 9.31052 12265 9.31451 3356 9.35406 
50	29 46	11242 9.16213 5882 9.28319 10424 9.31052 12265 9.31451 3356 9.35406 
51	29 105	1920 8.88714 6907 9.00426 8304 9.01489 2759 9.35359 11939 9.38669 
52	29 105	1920 8.88714 6907 9.00426 8304 9.01489 2759 9.35359 11939 9.38669 
53	32 80	32 11.9219 4862 14.4744 5173 16.039 2111 16.2228 5899 16.2465 
54	34 90	9324 11.0541 11471 11.9264 4482 11.9971 34 12.2331 8953 14.399 
55	34 206	34 12.1787 9530 12.8845 11898 12.8958 2588 13.0098 9150 13.1957 
56	35 121	8500 10.4126 11966 11.0043 11564 11.017 9774 11.0825 3165 11.1266 
57	36 181	36 10.7226 2854 13.9558 2186 14.4568 6788 14.5492 5972 14.6799 
58	37 129	37 11.5237 6830 12.3687 4271 12.5625 13909 12.6121 6731 12.6251 
59	38 165	38 11.982 9305 14.9709 4505 15.03 7652 15.1142 3828 15.2033 
60	39 47	5102 9.99191 6159 10.2714 8153 10.3185 5073 10.3314 4959 10.4069 
61	39 129	9708 9.14343 1230 9.44655 9686 9.51305 5184 10.112 7064 10.1729 
62	39 158	39 3.97041 4133 10.8831 3530 11.6669 1718 11.9833 8738 12.1623 
63	39 235	9708 9.29926 13909 9.55885 1230 9.57147 9686 9.8027 4271 10.0626 
64	41 47	2937 11.0797 5617 11.4317 5997 11.9793 41 11.988 5090 11.999 
65	41 176	41 4.40401 8474 11.2278 8849 14.1852 431 14.3537 9379 14.3566 
66	42 158	42 3.97041 10585 9.69602 10113 10.0333 1084 10.7866 7135 10.9624 
67	42 176	42 4.40401 13627 9.82559 300 10.1779 13688 10.5291 6996 11.2373 
68	42 176	42 4.40401 13627 9.82559 300 10.1779 13688 10.5291 6996 11.2373 
69	43 47	2152 9.55187 12354 9.83796 6015 9.94568 864 10.2186 6932 10.3366 
70	43 114	6922 10.745 6379 11.092 43 12.1683 8528 13.8503 6879 14.3269 
71	43 235	9686 9.85882 1230 10.093 9934 10.2972 13909 10.4253 3403 10.6241 
72	44 57	11847 7.10977 4387 7.74631 8050 7.92509 13808 8.10646 98 8.11318 
73	44 57	11847 7.10977 4387 7.74631 8050 7.92509 13808 8.10646 98 8.11318 
74	44 57	11847 7.10977 4387 7.74631 8050 7.92509 13808 8.10646 98 8.11318 
75	44 57	11847 7.10977 4387 7.74631 8050 7.92509 13808 8.10646 98 8.11318 
76	45 167	7427 11.2586 14170 11.4203 8844 11.6923 6274 11.9532 45 12.1668 
77	45 210	2511 10.5818 7427 10.7851 8844 10.8965 45 12.0226 159 12.0789 
78	46 57	10073 8.38537 14305 8.53574 1718 8.67424 12658 8.71525 3695 8.76684 
79	46 57	10073 8.38537 14305 8.53574 1718 8.67424 12658 8.71525 3695 8.76684 
80	46 116	1421 9.17623 1242 9.20689 5617 9.23163 3814 9.25141 3003 9.27045 
81	46 116	1421 9.17623 1242 9.20689 5617 9.23163 3814 9.25141 3003 9.27045 
82	48 109	1047 9.18425 9561 9.4159 375 9.52601 6488 9.58321 377 9.8124 
83	48 109	1047 9.18425 9561 9.4159 375 9.52601 6488 9.58321 377 9.8124 
84	48 109	1047 9.18425 9561 9.4159 375 9.52601 6488 9.58321 377 9.8124 
85	49 46	3003 6.85666 10424 6.96327 9060 7.0359 6159 7.05131 10347 7.20958 
86	49 46	3003 6.85666 10424 6.96327 9060 7.0359 6159 7.05131 10347 7.20958 
87	49 46	3003 6.85666 10424 6.96327 9060 7.0359 6159 7.05131 10347 7.20958 
88	49 46	3003 6.85666 10424 6.96327 9060 7.0359 6159 7.05131 10347 7.20958 
89	49 46	3003 6.85666 10424 6.96327 9060 7.0359 6159 7.05131 10347 7.20958 
90	49 46	3003 6.85666 10424 6.96327 9060 7.0359 6159 7.05131 10347 7.20958 
91	49 46	3003 6.85666 10424 6.96327 9060 7.0359 6159 7.05131 10347 7.20958 
92	49 46	3003 6.85666 10424 6.96327 9060 7.0359 6159 7.05131 10347 7.20958 
93	49 46	3003 6.85666 10424 6.96327 9060 7.0359 6159 7.05131 10347 7.20958 
94	49 105	9973 8.05092 5906 8.1689 5869 8.21237 9862 8.2477 10285 8.26433 
95	49 180	9651 7.84975 14503 8.25095 11280 8.2717 8509 8.34588 8848 8.43921 
96	50 129	50 11.5237 12428 12.1103 10064 12.4512 1430 12.6251 1120 12.8965 
97	51 215	51 7.0169 6466 13.5882 6130 15.5235 11891 15.5929 9908 15.9078 
98	52 60	10976 7.82569 13847 8.05533 9613 8.12805 739 8.13534 88 8.20588 
99	52 60	10976 7.82569 13847 8.05533 9613 8.12805 739 8.13534 88 8.20588 
100	52 60	10976 7.82569 13847 8.05533 9613 8.12805 739 8.13534 88 8.20588 
101	52 60	10976 7.82569 13847 8.05533 9613 8.12805 739 8.13534 88 8.20588 
102	52 112	10770 10.2817 8929 10.6119 3286 10.8129 11844 10.8747 3658 11.0228 
103	52 144	6936 11.6532 52 11.7914 950 12.6624 2798 12.8775 9184 12.9533 
