0	0 8	0 8.88481 537 11.6393 10959 11.9289 4566 11.9556 5140 12.3749 
1	1 224	9538 10.6115 5913 11.1057 8252 11.195 1481 11.8227 1 11.9941 
2	4 3	4 11.864 12057 13.3735 12474 13.4668 8686 13.4994 1790 13.5762 
3	4 189	11194 9.10985 3279 10.5667 2482 10.6792 4824 11.8607 9434 12.166 
4	7 47	3777 7.84187 5102 8.04315 13876 8.38807 14252 8.60713 12519 8.80052 
5	7 47	3777 7.84187 5102 8.04315 13876 8.38807 14252 8.60713 12519 8.80052 
6	7 47	3777 7.84187 5102 8.04315 13876 8.38807 14252 8.60713 12519 8.80052 
7	7 129	9686 8.9285 1230 9.40527 12804 9.51508 6731 9.72946 3403 9.94809 
8	7 158	7 3.97041 2223 11.931 3757 12.0231 8061 12.3339 4099 12.615 
9	8 56	10829 10.0086 639 10.1119 5209 10.178 4317 10.5109 12328 10.6782 
10	9 2	506 10.4604 2024 10.6478 8181 10.6481 13634 11.0433 1309 11.218 
11	9 136	2000 9.96653 4150 10.3242 5615 10.3437 13126 10.4448 13456 10.4992 
12	10 92	10 9.55292 3550 10.5697 10051 10.6475 13742 10.6514 5607 10.6861 
13	10 92	10 9.55292 3550 10.5697 10051 10.6475 13742 10.6514 5607 10.6861 
14	10 92	10 9.55292 3550 10.5697 10051 10.6475 13742 10.6514 5607 10.6861 
15	10 213	10 9.38583 750 10.591 212 10.741 2008 10.8135 5698 10.8348 
16	10 213	10 9.38583 750 10.591 212 10.741 2008 10.8135 5698 10.8348 
17	10 213	10 9.38583 750 10.591 212 10.741 2008 10.8135 5698 10.8348 
18	11 93	11 11.6167 8271 12.7195 7496 13.6344 739 13.6393 978 13.7227 
19	13 47	4315 8.26811 7815 9.2861 5901 9.40604 13560 9.68723 3664 9.83938 
20	13 136	3472 9.80095 6176 9.95441 13011 10.0067 6702 10.1774 8019 10.2266 
21	13 220	13 11.7825 3795 12.2533 9686 12.5627 2461 12.6151 12601 13.0664 
22	14 97	3082 9.14112 13175 9.42951 13498 9.78168 5308 9.78297 2415 10.0648 
23	14 179	14 8.98286 1242 11.9359 5387 13.0394 3186 13.4616 8730 13.9086 
24	14 199	8766 7.53712 11186 7.64803 694 7.80839 3012 8.03897 12430 8.08993 
25	15 112	563 9.36326 11136 10.1911 13140 11.2618 12106 11.7693 12695 11.7808 
26	15 166	3782 9.88292 5165 9.91478 6469 9.9756 5974 10.0437 9518 10.0883 
27	16 57	10833 9.63696 11280 9.71619 3202 10.1411 2203 10.4794 11641 10.5412 
28	18 5	18 6.2876 8106 11.9195 8356 12.1915 640 12.4334 1718 12.5286 
29	18 47	10881 8.24629 1715 8.78058 14359 9.07434 14263 9.12155 603 9.29723 
30	18 103	18 8.75647 8106 12.6046 12328 13.7195 1718 13.8438 9442 13.9035 
31	18 136	3472 7.89825 7173 7.9287 7593 7.96668 11609 8.04237 10042 8.15784 
32	19 183	3274 9.20753 454 9.25719 9056 9.45983 3248 9.48894 2060 9.50415 
33	19 183	3274 9.20753 454 9.25719 9056 9.45983 3248 9.48894 2060 9.50415 
34	20 47	10371 8.88123 9338 9.74429 11858 9.84964 8166 10.2607 3563 10.2834 
35	20 136	11668 10.4429 8681 10.5122 3472 10.537 3012 10.6678 5010 10.6939 
36	21 79	162 12.1184 4279 12.159 13224 12.2111 1898 12.2375 21 12.3795 
37	23 158	23 3.97041 12690 11.0922 408 11.1658 14028 11.6593 1578 11.7591 
38	24 33	24 12.2349 162 12.4703 1898 12.5154 4279 12.5369 13224 12.5702 
39	26 36	4159 10.95 10625 11.0013 9781 11.1885 26 11.6254 4603 11.8877 
40	26 128	1260 9.49279 1003 9.70225 3286 11.4653 11442 11.4881 3530 11.4944 
41	26 184	26 12.0421 1533 12.1424 11537 12.2626 7100 12.423 354 12.4706 
42	27 3	27 11.864 862 13.3955 12057 13.4156 8686 13.4465 1790 13.5703 
43	27 101	11955 8.05195 9363 8.11088 13819 8.24149 14464 8.25138 14479 8.32262 
44	27 173	27 12.2351 5957 12.6143 65 13.2832 13761 13.4013 11109 13.4382 
45	28 28	10520 10.2806 7526 10.4019 88 10.6291 4894 10.6394 14375 10.6423 
46	28 135	9072 10.2226 518 10.2946 11420 10.3205 6524 10.3735 7005 10.4001 
47	29 46	9545 8.70802 8259 8.78552 5633 9.09463 11702 9.15497 11242 9.16213 
48	29 46	9545 8.70802 8259 8.78552 5633 9.09463 11702 9.15497 11242 9.16213 
49	29 46	9545 8.70802 8259 8.78552 5633 9.09463 11702 9.15497 11242 9.16213 
50	29 46	9545 8.70802 8259 8.78552 5633 9.09463 11702 9.15497 11242 9.16213 
51	29 105	1920 8.88714 6907 9.00426 8304 9.01489 2759 9.35359 11939 9.38669 
52	29 105	1920 8.88714 6907 9.00426 8304 9.01489 2759 9.35359 11939 9.38669 
53	32 80	32 11.9219 4862 14.4744 5173 16.039 2111 16.2228 5899 16.2465 
54	34 90	9324 11.0541 11471 11.9264 4482 11.9971 34 12.2331 8953 14.399 
55	34 206	34 12.1787 9530 12.8845 11898 12.8958 2588 13.0098 9150 13.1957 
56	35 121	8668 9.65248 8500 10.4126 11966 11.0043 11564 11.017 9774 11.0825 
57	36 181	36 10.7226 6205 12.4638 2854 13.9558 2186 14.4568 6788 14.5492 
58	37 129	13239 10.2044 37 11.5237 6830 12.3687 4271 12.5625 13909 12.6121 
59	38 165	38 11.982 9305 14.9709 4505 15.03 7652 15.1142 3828 15.2033 
60	39 47	3666 7.9005 13549 9.10728 4148 9.17163 7180 9.24624 12512 9.55254 
61	39 129	9708 9.14343 1230 9.44655 9686 9.51305 13909 9.77017 5184 10.112 
62	39 158	39 3.97041 3992 9.94528 1947 10.2457 8356 10.5533 4133 10.8831 
63	39 235	9708 9.29926 13909 9.55885 1230 9.57147 9686 9.8027 4271 10.0626 
64	41 47	2777 8.42652 6398 10.5782 13583 10.6271 2937 11.0797 5617 11.4317 
65	41 176	41 4.40401 6391 11.0672 8474 11.2278 11920 11.4435 8849 14.1852 
66	42 158	42 3.97041 6104 9.04548 300 9.41452 10585 9.69602 13627 9.7408 
67	42 176	42 4.40401 6104 9.34332 13627 9.82559 10585 10.0041 12977 10.1508 
68	42 176	42 4.40401 6104 9.34332 13627 9.82559 10585 10.0041 12977 10.1508 
69	43 47	10760 8.80098 4538 8.85262 2152 9.55187 12354 9.83796 10857 9.84333 
70	43 114	6922 10.745 6379 11.092 43 12.1683 8528 13.8503 6879 14.3269 
71	43 235	9686 9.85882 1230 10.093 9934 10.2972 13909 10.4253 3403 10.6241 
72	44 57	11847 7.10977 1110 7.70119 4387 7.74631 8050 7.92509 9755 8.01904 
73	44 57	11847 7.10977 1110 7.70119 4387 7.74631 8050 7.92509 9755 8.01904 
74	44 57	11847 7.10977 1110 7.70119 4387 7.74631 8050 7.92509 9755 8.01904 
75	44 57	11847 7.10977 1110 7.70119 4387 7.74631 8050 7.92509 9755 8.01904 
76	45 167	11760 11.002 5960 11.1536 7427 11.2586 2511 11.2832 14178 11.2917 
77	45 210	1001 10.5209 437 10.5341 2511 10.5818 14178 10.6206 1417 10.6518 
78	46 57	10073 8.38537 8738 8.43375 14305 8.53574 8061 8.53963 1718 8.67424 
