1	0 8	12506 0.0 7992 0.01 9184 0.01 12820 0.01 13833 0.01 
2	1 224	11636 0.07 1183 0.08 7865 0.08 1247 0.09 4430 0.09 
3	4 3	12428 0.05 8686 0.09 1430 0.11 2078 0.12 3795 0.12 
4	4 189	2482 0.0 3279 0.0 4824 0.0 5530 0.0 6789 0.0 
5	7 47	864 0.0 4722 0.0 8276 0.0 14354 0.0 1935 0.01 
6	7 47	864 0.0 4722 0.0 8276 0.0 14354 0.0 1935 0.01 
7	7 47	864 0.0 4722 0.0 8276 0.0 14354 0.0 1935 0.01 
8	7 129	1430 0.0 2908 0.0 3180 0.0 3403 0.0 3795 0.0 
9	7 158	2887 0.0 4014 0.0 5502 0.0 8574 0.0 9130 0.0 
10	8 56	896 0.12 8738 0.125 12442 0.14 2096 0.15 2166 0.15 
11	9 2	4522 0.0 5692 0.0 7569 0.0 7878 0.0 8181 0.0 
12	9 136	1419 0.0 1839 0.0 1852 0.0 2587 0.0 3472 0.0 
13	10 92	2008 0.0 7332 0.0 7401 0.0 9703 0.0 11104 0.0 
14	10 92	2008 0.0 7332 0.0 7401 0.0 9703 0.0 11104 0.0 
15	10 92	2008 0.0 7332 0.0 7401 0.0 9703 0.0 11104 0.0 
16	10 213	956 0.0 3319 0.0 3550 0.0 4399 0.0 4890 0.0 
17	10 213	956 0.0 3319 0.0 3550 0.0 4399 0.0 4890 0.0 
18	10 213	956 0.0 3319 0.0 3550 0.0 4399 0.0 4890 0.0 
19	11 93	88 0.0 1092 0.0 1794 0.0 4894 0.0 7526 0.0 
20	13 47	5593 0.07 2561 0.08 5339 0.09 11170 0.11 12417 0.11 
21	13 136	1839 0.01 276 0.02 13326 0.02 69 0.03 694 0.03 
22	13 220	9686 0.0 12804 0.02 1230 0.02333333333333333 6884 0.05 12601 0.06 
23	14 97	2415 0.0 3082 0.0 4565 0.0 8161 0.0 8851 0.0 
24	14 179	9994 0.05 12939 0.06 9983 0.07 10897 0.07 3275 0.08 
25	14 199	425 0.0 488 0.0 694 0.0 1377 0.0 2128 0.0 
26	15 112	8249 0.01 11280 0.01 3286 0.02 6090 0.02 10948 0.02 
27	15 166	460 0.0 592 0.0 1828 0.0 2474 0.0 5165 0.0 
28	16 57	4835 0.12 6638 0.12 8509 0.12 534 0.13 1147 0.13 
29	18 5	717 0.07 14305 0.07 8738 0.09 11577 0.0925 1686 0.1 
30	18 47	6784 0.02 1502 0.04 2320 0.04 9281 0.04 10966 0.04 
31	18 103	3948 0.06 7865 0.06 8738 0.08 9576 0.09 11577 0.11 
32	18 136	2459 0.0 3352 0.0 3472 0.0 5592 0.0 7575 0.0 
33	19 183	7381 0.0 9631 0.0 7582 0.01 8871 0.01 9596 0.03 
34	19 183	7381 0.0 9631 0.0 7582 0.01 8871 0.01 9596 0.03 
35	20 47	4069 0.01 6015 0.01 7967 0.01 9888 0.01 12417 0.01 
36	20 136	49 0.0 138 0.0 1246 0.0 1839 0.0 1852 0.0 
37	21 79	1898 0.0 4279 0.0 11204 0.3 4739 0.74 9518 0.77 
38	23 158	13531 0.01 7972 0.02 256 0.03 1025 0.03 10381 0.03 
39	24 33	162 0.0 4279 0.0 13224 0.0 11204 0.27 4739 0.62 
40	26 36	4603 0.02 10046 0.04 1105 0.05 5262 0.06666666666666667 560 0.07 
41	26 128	1003 0.05 14060 0.09 12534 0.1 12106 0.11 6056 0.12 
42	26 184	6565 0.05 354 0.06 12087 0.07 2617 0.09 4974 0.09 
43	27 3	12428 0.06 3795 0.07 8686 0.11 2078 0.12 366 0.13 
44	27 101	2551 0.0 3225 0.0 4932 0.0 8336 0.0 9523 0.0 
45	27 173	5957 0.0 4676 0.11 11218 0.28 11809 0.3 4193 0.34 
46	28 28	88 0.0 1092 0.0 1794 0.0 3588 0.0 4894 0.0 
47	28 135	97 0.0 532 0.0 2309 0.0 2607 0.0 2864 0.0 
48	29 46	1010 0.0 9058 0.0 11292 0.0 12417 0.0 12473 0.0 
49	29 46	1010 0.0 9058 0.0 11292 0.0 12417 0.0 12473 0.0 
50	29 46	1010 0.0 9058 0.0 11292 0.0 12417 0.0 12473 0.0 
51	29 46	1010 0.0 9058 0.0 11292 0.0 12417 0.0 12473 0.0 
52	29 105	286 0.0 10863 0.0 44 0.01 1469 0.01 4537 0.01 
53	29 105	286 0.0 10863 0.0 44 0.01 1469 0.01 4537 0.01 
54	32 80	11681 0.12 5477 0.19 9008 0.2 2371 0.21 6233 0.21 
55	34 90	9324 0.0 8953 0.01 4482 0.02 11471 0.03 22 0.65 
56	34 206	690 0.01 4637 0.02 4869 0.02 8145 0.02 9150 0.02 
57	35 121	11966 0.0 325 0.01 8500 0.01 3165 0.02 7827 0.02 
58	36 181	2677 0.015 8513 0.03 3359 0.04 12586 0.055 2464 0.06 
59	37 129	1230 0.0 1430 0.0 3403 0.0 3795 0.0 4271 0.0 
60	38 165	6056 0.27 9561 0.27 7526 0.28 6996 0.28600000000000003 8184 0.29 
61	39 47	1348 0.0 8255 0.0 902 0.01 2548 0.01 4449 0.01 
62	39 129	1230 0.0 1356 0.0 1430 0.0 1571 0.0 2908 0.0 
63	39 158	1244 0.0 3334 0.0 3948 0.0 4216 0.0 4511 0.0 
64	39 235	1230 0.0 1356 0.0 1430 0.0 1571 0.0 3403 0.0 
65	41 47	12583 0.06333333333333332 9457 0.07 12577 0.07 827 0.08 6015 0.085 
66	41 176	256 0.03 8504 0.055 4536 0.06 5502 0.06 13530 0.06 
67	42 158	11198 0.04 13851 0.04 256 0.05 1025 0.05 1830 0.05 
68	42 176	4511 0.03 2250 0.04 6996 0.04 7836 0.04 11198 0.04 
69	42 176	4511 0.03 2250 0.04 6996 0.04 7836 0.04 11198 0.04 
70	43 47	864 0.03 13549 0.05 3148 0.06 7967 0.06 5593 0.07 
71	43 114	6379 0.0 6922 0.0 8528 0.17 3896 0.33 7526 0.65 
72	43 235	1230 0.0 9686 0.0 1430 0.01 8669 0.01 3795 0.02 
73	44 57	8061 0.07 4387 0.08 192 0.09 1586 0.09 7865 0.09 
74	44 57	8061 0.07 4387 0.08 192 0.09 1586 0.09 7865 0.09 
75	44 57	8061 0.07 4387 0.08 192 0.09 1586 0.09 7865 0.09 
76	44 57	8061 0.07 4387 0.08 192 0.09 1586 0.09 7865 0.09 
77	45 167	6274 0.0 7427 0.0 8844 0.0 14170 0.0 159 0.12 
78	45 210	2511 0.0 7427 0.0 8844 0.0 159 0.1 2710 0.12 
