0	0 8	0 0.0318558 319 2.04469 759 2.20823 3843 2.27711 7119 2.30804 
1	1 224	1 0.874804 9366 7.39113 9701 7.5433 2274 7.55677 7088 8.02761 
2	4 3	4 0.554031 4406 1.82778 12758 1.94731 13706 1.97383 12369 1.97839 
3	4 189	5530 3.87224 6789 4.54254 4 4.57512 6518 4.57621 6121 4.61245 
4	7 47	7 0.951892 5749 1.85824 5398 1.87457 4630 1.94913 1621 1.95472 
5	7 47	7 0.951892 5749 1.85824 5398 1.87457 4630 1.94913 1621 1.95472 
6	7 47	7 0.951892 5749 1.85824 5398 1.87457 4630 1.94913 1621 1.95472 
7	7 129	7 1.41942 10655 1.79811 12566 2.00944 5536 2.22233 6509 2.25387 
8	7 158	7 0.000203333 6939 1.62314 2136 1.64395 12523 1.77269 1090 1.82776 
9	8 56	8 1.36761 13021 3.2616 7178 3.585 4310 3.6591 3853 3.67193 
10	9 2	9 2.56433 11399 5.77911 3414 6.15801 1311 6.21976 804 6.51509 
11	9 136	9 2.38195 9461 5.34235 2770 5.44278 3040 5.6548 5569 6.00856 
12	10 92	10 0.000644272 7138 3.1668 7646 3.36265 8573 3.44834 14276 3.50463 
13	10 92	10 0.000644272 7138 3.1668 7646 3.36265 8573 3.44834 14276 3.50463 
14	10 92	10 0.000644272 7138 3.1668 7646 3.36265 8573 3.44834 14276 3.50463 
15	10 213	10 0.0013792 7138 3.15655 7646 3.3511 8573 3.40823 14276 3.46293 
16	10 213	10 0.0013792 7138 3.15655 7646 3.3511 8573 3.40823 14276 3.46293 
17	10 213	10 0.0013792 7138 3.15655 7646 3.3511 8573 3.40823 14276 3.46293 
18	11 93	11 0.542606 1628 2.43554 5874 2.73237 122 2.89668 3373 2.93399 
19	13 47	13 0.951892 6081 12.2812 13082 12.3591 2863 12.6151 5260 12.7197 
20	13 136	13 2.38195 10000 14.1815 7135 14.4462 5228 14.576 11920 14.6604 
21	13 220	13 2.17864 4916 11.6249 5347 12.3638 12328 12.4938 2810 12.5064 
22	14 97	3082 1.51347 14 2.76073 8367 3.59412 9581 3.78917 14242 3.92658 
23	14 179	14 0.00234737 2053 1.63604 13904 1.89068 12411 2.00878 9581 2.03442 
24	14 199	14 3.13318 3151 3.64481 11333 3.67342 11506 3.81319 9715 3.88944 
25	15 112	15 1.31682 13010 3.80396 14088 3.8983 1506 3.90287 3691 4.12788 
26	15 166	15 1.35258 5738 3.92829 12325 3.93401 213 3.98746 5847 4.00582 
27	16 57	16 2.062 9173 5.64356 326 5.72655 6388 5.81779 1667 5.86993 
28	18 5	18 0.00211096 3013 4.51866 10925 4.96321 9366 5.12956 6609 5.17706 
29	18 47	18 0.951892 10925 4.85592 4970 4.9076 10827 4.98164 3192 5.04393 
30	18 103	18 0.00500626 3013 4.47151 10925 5.01445 9366 5.19209 6609 5.19893 
31	18 136	18 2.38195 3013 6.21582 5915 6.50309 9234 6.6535 12559 6.76435 
32	19 183	19 1.38409 14451 2.88553 9440 2.91887 11833 2.96195 4292 2.97316 
33	19 183	19 1.38409 14451 2.88553 9440 2.91887 11833 2.96195 4292 2.97316 
34	20 47	20 0.951892 13429 2.78337 12644 2.81337 5884 2.84518 4227 2.88332 
35	20 136	20 2.38195 8319 3.72391 12021 4.04826 13850 4.10709 2955 4.33974 
36	21 79	21 3.35326 1898 4.43636 1574 4.65916 5405 4.79148 5810 4.98469 
37	23 158	23 0.000203333 8331 4.03588 6402 4.10146 5958 4.30084 12761 4.53981 
38	24 33	24 3.43321 10945 4.2176 11940 4.25816 4634 4.33294 13815 4.51277 
39	26 36	26 2.40908 13528 8.25938 835 16.8574 6613 17.0397 13883 17.4409 
40	26 128	26 1.25087 13528 6.68452 6613 15.9241 835 15.9442 13883 16.1589 
41	26 184	26 2.66166 13528 9.53906 835 20.463 6613 21.2765 1859 21.4995 
42	27 3	27 0.554031 7926 2.46127 3847 2.52001 6681 2.53915 11423 2.54021 
43	27 101	27 1.96027 3225 2.43506 9452 2.69762 8462 2.82695 4458 3.03746 
44	27 173	5957 2.27688 27 6.1398 4017 6.83624 8867 6.84883 6681 6.97153 
45	28 28	7526 2.11461 28 2.22525 8271 2.25679 4496 2.28719 14375 2.36264 
46	28 135	28 1.26817 5729 2.48851 3401 2.59787 1114 2.67786 556 2.68292 
47	29 46	12742 3.20719 7694 3.26584 29 3.31409 12706 3.49719 9754 3.53423 
48	29 46	12742 3.20719 7694 3.26584 29 3.31409 12706 3.49719 9754 3.53423 
49	29 46	12742 3.20719 7694 3.26584 29 3.31409 12706 3.49719 9754 3.53423 
50	29 46	12742 3.20719 7694 3.26584 29 3.31409 12706 3.49719 9754 3.53423 
51	29 105	29 2.12847 5474 3.45767 4630 3.5483 7257 3.79383 9545 3.83112 
52	29 105	29 2.12847 5474 3.45767 4630 3.5483 7257 3.79383 9545 3.83112 
53	32 80	32 0.229742 6699 1.8679 1704 1.94438 4308 2.05744 13467 2.09189 
54	34 90	9324 2.65295 34 6.18178 4659 7.90757 8455 8.09198 14272 8.19255 
55	34 206	34 2.76537 6454 4.05968 11635 4.20884 3877 4.48675 221 4.63331 
56	35 121	35 1.48025 13709 5.58358 10767 6.09183 3072 6.18963 12499 6.21306 
57	36 181	36 0.14099 12573 5.10321 9299 5.16613 965 5.25521 11010 5.27997 
58	37 129	37 1.41942 6465 2.52521 13786 2.53407 7279 2.54839 6831 2.60387 
59	38 165	38 0 10307 1.68911 5860 2.12227 1941 2.13383 4960 2.257 
60	39 47	39 0.951892 4412 2.24422 7326 2.5022 2396 2.56157 2722 2.58344 
61	39 129	39 1.41942 1747 2.84546 1158 3.0011 13068 3.03362 6437 3.05884 
62	39 158	39 0.000203333 4412 1.99922 1158 2.03231 1747 2.14542 4317 2.4432 
63	39 235	39 1.53399 1747 2.88885 1158 3.04609 7380 3.05917 13068 3.09862 
64	41 47	41 0.951892 13312 8.81126 14347 8.96571 2103 9.01501 8698 9.07102 
65	41 176	41 0.000535217 14347 8.31542 2103 8.93485 6538 9.18078 13312 9.45445 
66	42 158	42 0.000203333 9113 5.61013 7047 5.65173 8220 5.78763 10868 5.98579 
67	42 176	42 0.000535217 9113 5.59266 7047 5.6315 8220 5.77635 10868 5.9723 
